HYDROLAB MS5 65376
"Log File Name : site_name_for_hydrolab_file"
"Setup Date (YYYY-MM-DD) : 2017-02-22"
"Setup Time (HH:MM:SS) : 11:48:20"
"Starting Date (YYYY-MM-DD) : 2017-02-22"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (YYYY-MM-DD) : 2024-09-22"
"Stopping Time (HH:MM:SS) : 12:48:20"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","TDG","","TDG","","TDG","","IBatt","","EBatt","","IBatt","","EBatt","","Circ",""
"YYYY-MM-DD","HH:MM:SS","","°C","","mmHg","","psia","","mV","","Volts","","Volts","","%Left","","%Left","","Status",""

2017-02-23,18:15:00,"","6.87","","1395","","26.98","","22.66","","11.1","","0.0","","79","","0","","1",""
2017-02-23,18:30:00,"","6.87","","1398","","27.03","","22.70","","11.1","","0.0","","79","","0","","1",""
2017-02-23,18:45:00,"","6.86","","1400","","27.07","","22.73","","11.1","","0.0","","79","","0","","1",""
2017-02-23,19:00:00,"","6.87","","1402","","27.11","","22.77","","11.1","","0.0","","79","","0","","1",""
2017-02-23,19:15:00,"","6.87","","1404","","27.15","","22.80","","11.1","","0.0","","79","","0","","1",""
2017-02-23,19:30:00,"","6.86","","1406","","27.18","","22.83","","11.1","","0.0","","79","","0","","1",""
2017-02-23,19:45:00,"","6.87","","1407","","27.22","","22.86","","11.1","","0.0","","79","","0","","1",""
2017-02-23,20:00:00,"","6.87","","1409","","27.25","","22.88","","11.1","","0.0","","79","","0","","1",""
2017-02-23,20:15:00,"","6.87","","1411","","27.28","","22.91","","11.1","","0.0","","79","","0","","1",""
2017-02-23,20:30:00,"","6.86","","1412","","27.31","","22.93","","11.1","","0.0","","79","","0","","1",""
2017-02-23,20:45:00,"","6.86","","1414","","27.34","","22.96","","11.1","","0.0","","79","","0","","1",""
2017-02-23,21:00:00,"","6.86","","1415","","27.36","","22.98","","11.1","","0.0","","79","","0","","1",""
2017-02-23,21:15:00,"","6.86","","1416","","27.38","","23.00","","11.1","","0.0","","79","","0","","1",""
2017-02-23,21:30:00,"","6.86","","1417","","27.41","","23.01","","11.1","","0.0","","79","","0","","1",""
2017-02-23,21:45:00,"","6.87","","1418","","27.43","","23.03","","11.1","","0.0","","79","","0","","1",""
2017-02-23,22:00:00,"","6.86","","1419","","27.45","","23.05","","11.1","","0.0","","79","","0","","1",""
2017-02-23,22:15:00,"","6.86","","1420","","27.46","","23.06","","11.1","","0.0","","79","","0","","1",""
2017-02-23,22:30:00,"","6.86","","1421","","27.48","","23.08","","11.1","","0.0","","79","","0","","1",""
2017-02-23,22:45:00,"","6.86","","1422","","27.49","","23.09","","11.1","","0.0","","79","","0","","1",""
2017-02-23,23:00:00,"","6.86","","1422","","27.51","","23.10","","11.1","","0.0","","79","","0","","1",""
2017-02-23,23:15:00,"","6.86","","1423","","27.52","","23.11","","11.1","","0.0","","79","","0","","1",""
