"TOA5","PO-03","CR800","2656","CR800.Std.04","CPU:F2_XM20170222.CR8","21158","F2_XM20170222"
"TIMESTAMP","RECORD","Bat_Volt","Bat_Volt_Min","Temp_Int","Pression_bridge","Pression_bridge_v","Pression_bridge_Avg","Pression_bridge_v_Avg","CH4","Ptot","CH4_v","Ptot_v","CH4_Avg","Ptot_Avg","CH4_v_Avg","Ptot_v_Avg"
"TS","RN","volt","volt","DegC","psi","millivolt","psi","millivolt","%","mbar","volt","volt","%","mbar","volt","volt"
"","","Smp","Min","Smp","Smp","Smp","Avg","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg"
"2017-02-25 21:30:00",91,11.15529,11.15529,0,0,0,0,0,103.9642,1954.183,5.105283,4.288928,103.9572,1954.183,5.104601,4.289268
"2017-02-25 22:00:00",92,11.13306,11.13306,0,0,0,0,0,103.9502,1954.183,5.105283,4.291654,103.9618,1954.534,5.105283,4.290291
"2017-02-25 22:30:00",93,11.09595,11.09595,0,0,0,0,0,103.9921,1955.935,5.106646,4.293016,103.9711,1955.41,5.105737,4.291994
"2017-02-25 23:00:00",94,11.03486,11.03486,0,0,0,0,0,104.0164,1957.318,5.107836,4.293662,104.0189,1956.69,5.107955,4.29369
"2017-02-25 23:30:00",95,10.97377,10.97377,0,0,0,0,0,104.1863,1961.168,5.114769,4.303193,104.0913,1958.751,5.111267,4.297925
"2017-02-26 00:00:00",96,10.6463,10.6463,0,0,0,0,0,96.1096,1857.821,4.834753,4.192163,103.206,1953.539,5.08563,4.301644
"2017-02-26 09:00:00",97,10.60884,9.745871,0,0,0,0,0,1.423499,870.0468,0.1104281,2.204473,6.234506,570.9318,0.3839726,1.603563
"2017-02-26 09:30:00",98,11.1313,10.5922,0,0,0,0,0,104.0695,1953.883,5.109065,4.285616,52.83024,1424.997,2.742557,3.267662
"2017-02-26 10:00:00",99,12.23837,11.59256,0,0,0,0,0,103.8323,1947.924,5.097476,4.277436,103.9137,1950.027,5.102703,4.281071
"2017-02-26 10:30:00",100,13.08755,12.07185,0,0,0,0,0,103.7625,1946.873,5.094752,4.275393,103.8097,1947.88,5.097739,4.276784
"2017-02-26 11:00:00",101,12.59288,11.91489,0,0,0,0,0,103.7904,1947.925,5.096797,4.276756,103.8183,1948.158,5.097819,4.277778
"2017-02-26 11:30:00",102,12.02304,12.02304,0,0,0,0,0,103.8742,1949.677,5.100205,4.280846,103.8253,1948.918,5.097365,4.278346
"2017-02-26 12:00:00",103,13.58672,11.91842,0,0,0,0,0,103.728,1946.916,5.09443,4.275475,103.7863,1947.773,5.096708,4.277484
"2017-02-26 12:30:00",104,13.88135,13.36435,0,0,0,0,0,103.7498,1947.137,5.094812,4.275906,103.7566,1947.406,5.094916,4.27643
"2017-02-26 13:00:00",105,13.92027,12.90293,0,0,0,0,0,103.756,1947.97,5.095118,4.276844,103.7734,1948.186,5.095737,4.278287
"2017-02-26 13:30:00",106,13.33655,12.76395,0,0,0,0,0,103.7841,1948.674,5.096488,4.279577,103.7841,1948.966,5.096488,4.279235
"2017-02-26 14:00:00",107,13.23093,12.30254,0,0,0,0,0,103.7562,1948.674,5.095124,4.278895,103.7771,1949.024,5.09626,4.279577
"2017-02-26 14:30:00",108,12.43596,12.22471,0,0,0,0,0,103.812,1950.427,5.097851,4.281622,103.7934,1949.55,5.096942,4.280372
"2017-02-26 15:00:00",109,12.34701,12.18023,0,0,0,0,0,103.8399,1950.778,5.098533,4.282986,103.826,1950.719,5.098533,4.282191
"2017-02-26 15:30:00",110,13.4255,12.33033,0,0,0,0,0,103.7841,1949.375,5.096488,4.280941,103.8027,1950.193,5.097283,4.282531
"2017-02-26 16:00:00",111,12.63053,12.59718,0,0,0,0,0,103.812,1950.778,5.097851,4.282304,103.805,1950.602,5.097396,4.282304
"2017-02-26 16:30:00",112,12.41928,12.41928,0,0,0,0,0,103.812,1951.479,5.097851,4.285032,103.812,1951.187,5.097851,4.283668
"2017-02-26 17:00:00",113,12.29142,12.29142,0,0,0,0,0,103.812,1951.479,5.099215,4.285032,103.819,1951.537,5.09842,4.284577
"2017-02-26 17:30:00",114,12.01346,12.01346,0,0,0,0,0,103.8399,1952.531,5.099897,4.285714,103.8423,1952.122,5.099329,4.285145
"2017-02-26 18:00:00",115,11.76521,11.76521,0,0,0,0,0,103.8679,1952.882,5.100579,4.286396,103.8679,1952.648,5.100238,4.286168
"2017-02-26 18:30:00",116,11.64472,11.64472,0,0,0,0,0,103.9028,1953.619,5.101602,4.289193,103.8896,1953.34,5.101526,4.288311
"2017-02-26 19:00:00",117,11.5913,11.5913,0,0,0,0,0,103.9035,1954.335,5.102318,4.287858,103.8988,1953.925,5.101975,4.288538
"2017-02-26 19:30:00",118,11.57662,11.57662,0,0,0,0,0,103.8755,1954.335,5.100272,4.287858,103.8779,1953.809,5.10084,4.287971
"2017-02-26 20:00:00",119,11.56289,11.56171,0,0,0,0,0,103.8575,1953.842,5.100073,4.288263,103.8661,1953.797,5.100722,4.288063
"2017-02-26 20:30:00",120,11.54719,11.54719,0,0,0,0,0,103.8832,1955.087,5.101327,4.290001,103.8817,1954.83,5.10114,4.290071
"2017-02-26 21:00:00",121,11.53645,11.53645,0,0,0,0,0,103.8832,1954.737,5.101329,4.290685,103.8832,1954.854,5.101329,4.290798
"2017-02-26 21:30:00",122,11.52572,11.52572,0,0,0,0,0,103.8972,1955.087,5.102012,4.291367,103.8879,1955.029,5.101443,4.291026
"2017-02-26 22:00:00",123,11.51957,11.51957,0,0,0,0,0,103.995,1957.193,5.106788,4.296144,103.9391,1955.789,5.10349,4.292845
"2017-02-26 22:30:00",124,11.26895,11.26895,0,0,0,0,0,104.3023,1965.965,5.1218,4.31252,104.2627,1964.503,5.119184,4.309563
"2017-02-26 23:00:00",125,10.33973,10.33973,0,0,0,0,0,104.2884,1964.912,5.120435,4.310473,104.2907,1965.322,5.121345,4.310586
"2017-02-26 23:30:00",126,9.862273,9.862273,0,0,0,0,0,104.2744,1964.912,5.120435,4.310473,104.2721,1964.971,5.120321,4.309904
"2017-02-27 00:00:00",127,9.695731,9.695731,0,0,0,0,0,104.2744,1964.912,5.120435,4.311155,104.2744,1964.971,5.120321,4.310928
"2017-02-27 00:30:00",128,9.617809,9.617809,0,0,0,0,0,104.3303,1967.018,5.123165,4.315249,104.307,1966.257,5.122255,4.313088
"2017-02-27 01:00:00",129,9.561547,9.561547,0,0,0,0,0,104.4839,1970.526,5.129988,4.322073,104.4164,1968.947,5.127372,4.31832
"2017-02-27 01:30:00",130,9.365495,9.365495,0,0,0,0,0,98.86525,1936.826,4.948335,4.324762,103.7442,1970.44,5.108524,4.331228
"2017-02-27 08:30:00",131,11.3867,10.76447,0,0,0,0,0,100.1543,1932.194,5.157177,4.338902,35.37664,759.9897,1.769974,2.282532
"2017-02-27 09:00:00",132,11.62989,10.9188,0,0,0,0,0,101.341,1932.895,5.152404,4.335493,90.78436,1694.223,4.667803,3.974884
"2017-02-27 09:30:00",133,12.08573,11.73551,0,0,0,0,0,103.9038,1948.956,5.101654,4.278762,104.2732,1958.765,5.117197,4.296586
"2017-02-27 10:00:00",134,12.23727,12.10797,0,0,0,0,0,103.8323,1948.275,5.098842,4.278119,103.8356,1948.179,5.099232,4.277706
"2017-02-27 10:30:00",135,12.58331,12.26501,0,0,0,0,0,103.7708,1946.81,5.095157,4.275952,103.8128,1947.632,5.097889,4.277324
"2017-02-27 11:00:00",136,12.457,12.38014,0,0,0,0,0,103.8246,1948.577,5.098468,4.278025,103.7865,1947.613,5.097059,4.276605
"2017-02-27 11:30:00",137,12.57874,12.3455,0,0,0,0,0,103.7927,1947.903,5.096908,4.278078,103.7965,1947.859,5.097207,4.277993
"2017-02-27 12:00:00",138,12.7721,12.75005,0,0,0,0,0,103.7891,1948.528,5.096732,4.27793,103.7754,1948.124,5.096061,4.277144
"2017-02-27 12:30:00",139,12.44328,12.44328,0,0,0,0,0,103.817,1948.528,5.098094,4.279293,103.7798,1948.002,5.096164,4.278157
"2017-02-27 13:00:00",140,12.54893,12.33246,0,0,0,0,0,103.7891,1949.228,5.09605,4.279293,103.7868,1948.936,5.096391,4.278725
"2017-02-27 13:30:00",141,12.4207,12.4207,0,0,0,0,0,103.817,1949.228,5.098094,4.280655,103.7775,1948.644,5.09605,4.279293
"2017-02-27 14:00:00",142,14.2346,12.32655,0,0,0,0,0,103.7333,1948.528,5.094007,4.27793,103.7519,1948.294,5.095142,4.278271
"2017-02-27 14:30:00",143,12.26356,12.26356,0,0,0,0,0,103.817,1949.929,5.098094,4.281336,103.81,1949.812,5.097526,4.280655
"2017-02-27 15:00:00",144,12.20249,12.20249,0,0,0,0,0,103.817,1951.33,5.098094,4.28338,103.817,1950.746,5.098094,4.283152
"2017-02-27 15:30:00",145,12.09825,12.09825,0,0,0,0,0,103.817,1951.33,5.098094,4.28338,103.817,1951.213,5.098094,4.28338
"2017-02-27 16:00:00",146,12.08351,12.08351,0,0,0,0,0,103.817,1951.33,5.098094,4.284061,103.817,1951.33,5.098094,4.283607
"2017-02-27 16:30:00",147,12.0789,12.06741,0,0,0,0,0,103.826,1951.521,5.098535,4.285113,103.8194,1951.382,5.098215,4.28473
