Serial_number:
2022016
Project ID:
CGC_McCully
Location:
PO-05_20160729
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,LEVEL,TEMPERATURE
2016-07-29,15:52:18,13.1954,7.364
2016-07-29,15:52:19,13.1954,7.364
2016-07-29,15:52:20,13.1952,7.364
2016-07-29,15:52:21,13.1952,7.363
2016-07-29,15:52:22,13.1951,7.364
2016-07-29,15:52:23,13.1954,7.364
2016-07-29,15:52:24,13.1954,7.364
2016-07-29,15:52:25,13.1952,7.364
2016-07-29,15:52:26,13.1951,7.364
2016-07-29,15:52:27,13.1951,7.364
2016-07-29,15:52:28,13.1949,7.363
2016-07-29,15:52:29,13.1953,7.364
2016-07-29,15:52:30,13.1950,7.364
2016-07-29,15:52:31,13.1949,7.364
2016-07-29,15:52:32,13.1951,7.365
2016-07-29,15:52:33,13.1950,7.364
2016-07-29,15:52:34,13.1952,7.364
2016-07-29,15:52:35,13.1952,7.364
2016-07-29,15:52:36,13.1951,7.364
2016-07-29,15:52:37,13.1951,7.364
2016-07-29,15:52:38,13.1950,7.364
2016-07-29,15:52:39,13.1952,7.364
2016-07-29,15:52:40,13.1949,7.363
2016-07-29,15:52:41,13.1950,7.364
2016-07-29,15:52:42,13.1948,7.364
2016-07-29,15:52:43,13.1951,7.364
2016-07-29,15:52:44,13.1951,7.364
2016-07-29,15:52:45,13.1950,7.364
2016-07-29,15:52:46,13.1950,7.364
2016-07-29,15:52:47,13.1948,7.363
2016-07-29,15:52:48,13.1947,7.364
2016-07-29,15:52:49,13.1947,7.364
2016-07-29,15:52:50,13.1947,7.364
2016-07-29,15:52:51,13.1949,7.364
2016-07-29,15:52:52,13.1950,7.364
2016-07-29,15:52:53,13.1947,7.364
2016-07-29,15:52:54,13.1950,7.364
2016-07-29,15:52:55,13.1948,7.364
2016-07-29,15:52:56,13.1947,7.364
2016-07-29,15:52:57,13.1947,7.364
2016-07-29,15:52:58,13.1947,7.364
2016-07-29,15:52:59,13.1948,7.364
2016-07-29,15:53:00,13.1949,7.364
2016-07-29,15:53:01,13.1947,7.363
2016-07-29,15:53:02,13.1947,7.365
2016-07-29,15:53:03,13.1947,7.364
2016-07-29,15:53:04,13.1947,7.364
2016-07-29,15:53:05,13.1946,7.364
2016-07-29,15:53:06,13.1946,7.364
2016-07-29,15:53:07,13.1948,7.364
2016-07-29,15:53:08,13.1945,7.364
2016-07-29,15:53:09,13.1945,7.364
2016-07-29,15:53:10,13.1946,7.364
2016-07-29,15:53:11,13.1948,7.364
2016-07-29,15:53:12,13.1944,7.364
2016-07-29,15:53:13,13.1947,7.363
2016-07-29,15:53:14,13.1946,7.364
2016-07-29,15:53:15,13.1947,7.364
2016-07-29,15:53:16,13.1944,7.364
2016-07-29,15:53:17,13.1946,7.364
2016-07-29,15:53:18,13.1944,7.364
2016-07-29,15:53:19,13.1947,7.364
2016-07-29,15:53:20,13.1943,7.364
2016-07-29,15:53:21,13.1941,7.364
2016-07-29,15:53:22,13.1946,7.364
2016-07-29,15:53:24,13.1945,7.364
2016-07-29,15:53:25,13.1944,7.364
2016-07-29,15:53:26,13.1944,7.364
2016-07-29,15:53:27,13.1946,7.364
2016-07-29,15:53:28,13.1946,7.364
2016-07-29,15:53:29,13.1943,7.364
2016-07-29,15:53:30,13.1944,7.364
2016-07-29,15:53:31,13.1943,7.364
2016-07-29,15:53:32,13.1943,7.365
2016-07-29,15:53:33,13.1941,7.363
2016-07-29,15:53:34,13.1944,7.364
2016-07-29,15:53:35,13.1942,7.364
2016-07-29,15:53:36,13.1945,7.364
2016-07-29,15:53:37,13.1942,7.364
2016-07-29,15:53:38,13.1944,7.364
2016-07-29,15:53:39,13.1944,7.364
2016-07-29,15:53:40,13.1943,7.363
2016-07-29,15:53:41,13.1944,7.365
2016-07-29,15:53:42,13.1944,7.364
2016-07-29,15:53:43,13.1942,7.364
2016-07-29,15:53:44,13.1943,7.364
2016-07-29,15:53:45,13.1939,7.364
2016-07-29,15:53:46,13.1943,7.364
2016-07-29,15:53:47,13.1941,7.365
2016-07-29,15:53:48,13.1945,7.364
2016-07-29,15:53:49,13.1943,7.364
2016-07-29,15:53:50,13.1941,7.364
2016-07-29,15:53:51,13.1942,7.364
2016-07-29,15:53:52,13.1943,7.365
2016-07-29,15:53:53,13.1942,7.364
2016-07-29,15:53:54,13.1941,7.364
2016-07-29,15:53:55,13.1942,7.364
2016-07-29,15:53:56,13.1942,7.364
2016-07-29,15:53:57,13.1942,7.364
2016-07-29,15:53:58,13.1940,7.364
2016-07-29,15:53:59,13.1939,7.364
2016-07-29,15:54:00,13.1938,7.364
2016-07-29,15:54:01,13.1941,7.364
2016-07-29,15:54:02,13.1940,7.364
2016-07-29,15:54:03,13.1943,7.364
2016-07-29,15:54:04,13.1940,7.363
2016-07-29,15:54:05,13.1939,7.364
2016-07-29,15:54:06,13.1941,7.364
2016-07-29,15:54:07,13.1941,7.364
2016-07-29,15:54:08,13.1942,7.364
2016-07-29,15:54:09,13.1940,7.364
2016-07-29,15:54:10,13.1944,7.364
2016-07-29,15:54:11,13.1942,7.364
2016-07-29,15:54:12,13.1940,7.364
2016-07-29,15:54:13,13.1941,7.364
2016-07-29,15:54:14,13.1937,7.364
2016-07-29,15:54:15,13.1940,7.364
2016-07-29,15:54:16,13.1939,7.364
2016-07-29,15:54:17,13.1940,7.364
2016-07-29,15:54:18,13.1938,7.364
2016-07-29,15:54:19,13.1939,7.364
2016-07-29,15:54:20,13.1939,7.363
2016-07-29,15:54:21,13.1939,7.364
2016-07-29,15:54:22,13.1940,7.364
2016-07-29,15:54:23,13.1938,7.364
2016-07-29,15:54:24,13.1937,7.364
2016-07-29,15:54:25,13.1939,7.364
2016-07-29,15:54:26,13.1940,7.364
2016-07-29,15:54:27,13.1938,7.364
2016-07-29,15:54:28,13.1938,7.364
2016-07-29,15:54:29,13.1938,7.364
2016-07-29,15:54:30,13.1938,7.364
2016-07-29,15:54:31,13.1937,7.364
2016-07-29,15:54:32,13.1937,7.364
